Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.57.141-54.68.174.162-50064-443-6,192.168.57.141,50064.0,54.68.174.162,443.0,6.0,07/03/2025 03:30:25 PM,312584.0,2.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,76.77936170757302,9.597420213446629,156292.0,220917.129005426,312504.0,80.0,312584.0,312584.0,0.0,312584.0,312584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,6.398280142297751,3.199140071148876,0.0,24.0,6.0,12.0,144.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,180.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-192.168.57.205-50111-53-6,192.168.57.141,50111.0,192.168.57.205,53.0,6.0,07/03/2025 03:30:28 PM,156407.0,5.0,5.0,32.0,271.0,32.0,0.0,6.4,14.310835055998654,270.0,0.0,54.2,120.63664451566946,1937.253447735716,63.935757351013706,17378.555555555555,27884.43790948237,80388.0,74.0,153006.0,38251.5,61982.77903579348,130994.0,1448.0,147833.0,36958.25,36499.45934188615,80388.0,4050.0,0.0,0.0,0.0,0.0,112.0,112.0,31.967878675506853,31.967878675506853,0.0,270.0,27.54545454545455,80.98069354650357,6557.872727272727,2.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,30.3,6.4,54.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535.0,86.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-192.168.57.205-50112-53-6,192.168.57.141,50112.0,192.168.57.205,53.0,6.0,07/03/2025 03:30:28 PM,197614.0,4.0,5.0,32.0,237.0,32.0,0.0,8.0,16.0,236.0,0.0,47.4,105.43149434585472,1361.239588288279,45.543331950165474,24701.75,48070.51330448992,139482.0,84.0,190531.0,63510.333333333336,101434.00125368877,180565.0,1446.0,189178.0,47294.5,64524.93216062558,139482.0,1328.0,0.0,0.0,0.0,0.0,92.0,112.0,20.241480866740208,25.301851083425262,0.0,236.0,26.9,74.15067243270435,5498.322222222222,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,29.88888888888889,8.0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535.0,86.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-192.168.57.205-50112-53-6,192.168.57.141,50112.0,192.168.57.205,53.0,6.0,07/03/2025 03:30:28 PM,1012.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976.284584980237,1012.0,0.0,1012.0,1012.0,1012.0,1012.0,0.0,1012.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1976.284584980237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-13.69.109.130-50113-443-6,192.168.57.141,50113.0,13.69.109.130,443.0,6.0,07/03/2025 03:30:29 PM,713680.0,15.0,12.0,3222.0,6140.0,1420.0,0.0,214.79999999999995,412.8199538366748,1420.0,0.0,511.6666666666667,670.5077225957998,13117.92399955162,37.83208160520121,27449.23076923077,45978.02580738559,167792.0,0.0,713680.0,50977.142857142855,63409.68345469149,183673.0,0.0,637732.0,57975.63636363637,62911.69161494981,168679.0,0.0,0.0,0.0,0.0,0.0,324.0,252.0,21.01782311400068,16.814258491200537,0.0,1420.0,334.35714285714283,545.5115991084926,297582.9047619048,1.0,2.0,1.0,13.0,26.0,0.0,0.0,0.0,0.0,346.7407407407408,214.8,511.6666666666667,0.0,0.0,0.0,9362.0,16.0,14700.0,0.0,0.0,0.0,0.0,65535.0,16385.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-192.168.57.205-50115-53-6,192.168.57.141,50115.0,192.168.57.205,53.0,6.0,07/03/2025 03:30:30 PM,236306.0,5.0,5.0,34.0,108.0,34.0,0.0,6.8,15.20526224699857,107.0,0.0,21.6,47.742015039166496,600.9157617665231,42.31801139200867,26256.222222222223,39192.62011137357,109529.0,100.0,231755.0,57938.75,76060.90814768123,163664.0,305.0,173359.0,43339.75,49324.33403081418,109529.0,4706.0,0.0,0.0,0.0,0.0,112.0,112.0,21.159005696004336,21.159005696004336,0.0,107.0,12.90909090909091,32.82211006457247,1077.2909090909093,2.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,14.2,6.8,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535.0,86.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-192.168.57.205-50114-53-6,192.168.57.141,50114.0,192.168.57.205,53.0,6.0,07/03/2025 03:30:30 PM,237532.0,6.0,6.0,34.0,50.0,32.0,0.0,5.666666666666666,12.925427136720344,49.0,0.0,8.333333333333334,19.926531726988184,353.636562652611,50.519508950373,21593.81818181818,36671.751422091045,111333.0,150.0,234782.0,46956.4,69513.6525676791,161262.0,168.0,172178.0,34435.6,47272.85164658464,111333.0,1151.0,0.0,0.0,0.0,0.0,132.0,124.0,25.2597544751865,25.2597544751865,0.0,49.0,6.461538461538462,15.511368866175678,240.6025641025641,2.0,2.0,0.0,4.0,11.0,0.0,0.0,0.0,1.0,7.0,5.666666666666667,8.333333333333334,0.0,0.0,0.0,84.0,4.0,500.0,0.0,0.0,0.0,0.0,65535.0,65535.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-192.168.57.205-50118-53-6,192.168.57.141,50118.0,192.168.57.205,53.0,6.0,07/03/2025 03:30:30 PM,216080.0,6.0,6.0,47.0,177.0,45.0,0.0,7.833333333333334,18.22544009528073,176.0,0.0,29.5,71.77116412599143,1036.653091447612,55.53498704183636,19643.636363636364,37147.64299191196,119000.0,0.0,213760.0,42752.0,77530.26749921608,179931.0,33.0,188353.0,37670.6,51478.688569154525,119000.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0,27.76749352091818,27.76749352091818,0.0,176.0,17.230769230769234,49.28345538168944,2428.858974358974,2.0,2.0,0.0,4.0,11.0,0.0,0.0,0.0,1.0,18.666666666666668,7.833333333333333,29.5,0.0,0.0,0.0,224.0,4.0,1219.0,0.0,0.0,0.0,0.0,65535.0,86.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-192.168.57.205-50122-53-6,192.168.57.141,50122.0,192.168.57.205,53.0,6.0,07/03/2025 03:30:31 PM,215371.0,5.0,5.0,34.0,316.0,34.0,0.0,6.8,15.20526224699857,315.0,0.0,63.2,140.76114520704925,1625.1027297082708,46.43150656309345,23930.11111111111,39953.90930323479,119266.0,35.0,211792.0,52948.0,85204.4356748325,179678.0,166.0,189462.0,47365.5,53981.70944866419,119266.0,5475.0,0.0,0.0,0.0,0.0,112.0,112.0,23.215753281546725,23.215753281546725,0.0,315.0,31.81818181818182,94.4699086289578,8924.563636363635,2.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,35.0,6.8,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535.0,86.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.57.141-192.168.57.205-50116-53-6,192.168.57.141,50116.0,192.168.57.205,53.0,6.0,07/03/2025 03:30:30 PM,253262.0,6.0,6.0,40.0,89.0,38.0,0.0,6.666666666666667,15.370968306084906,88.0,0.0,14.833333333333334,35.84643171456075,509.35394966477406,47.38176275951387,23023.818181818184,39518.89438943904,120081.0,32.0,248639.0,49727.8,77554.18511402205,179952.0,32.0,189939.0,37987.8,51580.067213023285,120081.0,83.0,0.0,0.0,0.0,0.0,132.0,132.0,23.69088137975693,23.69088137975693,0.0,88.0,9.923076923076923,25.678984723120507,659.4102564102565,2.0,2.0,0.0,4.0,11.0,0.0,0.0,0.0,1.0,10.75,6.666666666666667,14.833333333333334,0.0,0.0,0.0,129.0,4.0,702.0,0.0,0.0,0.0,0.0,65535.0,86.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
