,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,0.9996054479047961,0.0001609067203904082,3.5267226386938783e-05,8.816806596734696e-06,0.00013886470389857145,2.4246218141020412e-05,2.204201649183674e-06,0.0,0.0,0.0,1.102100824591837e-05,0.0,8.816806596734696e-06,0.0,4.408403298367348e-06
Bot,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDoS,3.906097418069607e-05,0.0,0.9999609390258193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS GoldenEye,0.0,0.0,0.0,0.9990281827016521,0.0,0.0009718172983479105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS Hulk,2.1742439066814515e-05,0.0,2.1742439066814515e-05,0.00021742439066814516,0.9997173482921314,0.0,0.0,0.0,0.0,0.0,2.1742439066814515e-05,0.0,0.0,0.0,0.0
DoS Slowhttptest,0.0009090909090909091,0.0,0.0,0.0009090909090909091,0.0,0.9981818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS slowloris,0.0025884383088869713,0.0,0.0,0.0,0.0,0.0,0.996548748921484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008628127696289905
FTP-Patator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heartbleed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Infiltration,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
PortScan,6.297030949907119e-05,0.0,0.0,0.0,9.445546424860678e-05,3.1485154749535595e-05,0.0,0.0,0.0,0.0,0.9997481187620038,0.0,6.297030949907119e-05,0.0,0.0
SSH-Patator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Web Attack - Brute Force,0.0033112582781456954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8509933774834437,0.0,0.1456953642384106
Web Attack - Sql Injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Web Attack - XSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23846153846153847,0.0,0.7615384615384615
