label,precision,recall,f1,support
BENIGN,0.9999779497695751,0.9996054479047961,0.9997916641405484,453679
Bot,0.8426724137931034,1.0,0.9146198830409357,391
DDoS,0.9993363781863607,0.9999609390258193,0.9996485610527549,25601
DoS GoldenEye,0.9927571221632062,0.9990281827016521,0.9958827803342214,2058
DoS Hulk,0.9985666507405638,0.9997173482921314,0.9991416682058692,45993
DoS Slowhttptest,0.987410071942446,0.9981818181818182,0.9927667269439421,1100
DoS slowloris,0.9991349480968859,0.996548748921484,0.9978401727861771,1159
FTP-Patator,1.0,1.0,1.0,1586
Heartbleed,1.0,1.0,1.0,1
Infiltration,1.0,0.8571428571428571,0.9230769230769231,7
PortScan,0.999811077174974,0.9997481187620038,0.99977959697733,31761
SSH-Patator,1.0,1.0,1.0,1179
Web Attack - Brute Force,0.8741496598639455,0.8509933774834437,0.8624161073825504,302
Web Attack - Sql Injection,1.0,1.0,1.0,4
Web Attack - XSS,0.678082191780822,0.7615384615384615,0.717391304347826,130
