feature,importance
Protocol_6.0,13389.87109375
Bwd Packet Length Max,8309.189453125
Fwd Segment Size Avg,5916.0205078125
SYN Flag Count,5232.865234375
Bwd Packet Length Min,4158.43896484375
Dst Port,3833.889404296875
Flow Bytes/s,2901.927978515625
Bwd IAT Std,2824.112548828125
Fwd Seg Size Min,2715.522216796875
Fwd Packet Length Mean,2673.46630859375
Packet Length Variance,2574.500732421875
Bwd Init Win Bytes,2293.2275390625
Packet Length Mean,2285.711669921875
Fwd Packet Length Min,1993.6632080078125
Total Length of Bwd Packet,1948.51123046875
Bwd Packet Length Mean,1859.9141845703125
Bwd Segment Size Avg,1848.6346435546875
Subflow Bwd Bytes,1846.84375
Flow IAT Mean,1604.8480224609375
Bwd Header Length,1584.6180419921875
Fwd Act Data Pkts,1528.5865478515625
Total Length of Fwd Packet,1505.9976806640625
Active Std,1466.98779296875
Fwd PSH Flags,1399.7391357421875
Bwd IAT Min,1385.8778076171875
Packet Length Min,1359.370849609375
Bwd IAT Mean,1340.4105224609375
Average Packet Size,1274.0040283203125
Subflow Fwd Bytes,1272.89599609375
Fwd Packet Length Max,1263.65234375
Protocol_17.0,1229.921630859375
Idle Mean,1156.5802001953125
Bwd Packet Length Std,1087.019775390625
Fwd Packet Length Std,1076.111328125
Idle Max,972.13671875
Packet Length Max,881.5510864257812
Active Min,852.2994384765625
Fwd IAT Std,849.0730590820312
PSH Flag Count,804.2269897460938
Subflow Bwd Packets,801.9263916015625
Down/Up Ratio,787.5055541992188
Total Bwd packets,779.3475341796875
Subflow Fwd Packets,736.1841430664062
Bwd Packets/s,696.246337890625
Bwd IAT Total,662.5999145507812
FIN Flag Count,638.2612915039062
Src Port,614.8123168945312
Idle Min,604.6947021484375
FWD Init Win Bytes,595.491943359375
Flow Packets/s,544.7054443359375
Total Fwd Packet,529.7761840820312
Idle Std,403.0019836425781
Fwd Header Length,384.4034729003906
Fwd Packets/s,380.0362548828125
Active Mean,367.22784423828125
Flow IAT Max,362.6777038574219
URG Flag Count,357.8649597167969
Packet Length Std,336.0754089355469
Flow IAT Std,299.9872131347656
Fwd IAT Mean,278.1087341308594
Flow Duration,276.4449462890625
Fwd IAT Max,248.77687072753906
Fwd IAT Min,234.8644256591797
Bwd IAT Max,171.48182678222656
Fwd IAT Total,168.72975158691406
ACK Flag Count,167.21192932128906
Flow IAT Min,155.3877410888672
Active Max,85.6938705444336
Protocol_0.0,2.906038522720337
Fwd URG Flags,0.0
ECE Flag Count,0.0
RST Flag Count,0.0
CWR Flag Count,0.0
